"new_dust_label","scan_name","new_center_x","new_center_y","new_radius","new_center_z","scan_order","cluster"
22,"scan-013.x3p",2288.5,421.5,24.0416305603426,0.00694568362087011,-13,"9"
23,"scan-013.x3p",149.5,288.5,41.7851648315524,0.00530782109126449,-13,"13"
24,"scan-013.x3p",294.5,254.5,19.4164878389476,0.0156117621809244,-13,"13"
25,"scan-013.x3p",1163.5,145.5,21.3775583264319,0.0272568576037884,-13,"11"
26,"scan-013.x3p",2428.5,137.5,47.5184174820669,0.0141781074926257,-13,"28"
1,"scan-014.x3p",2344.5,2033.5,190.065778087482,0.654647529125214,-14,"22"
2,"scan-014.x3p",2395.5,1985.5,9.8488578017961,0.661134660243988,-14,"22"
3,"scan-014.x3p",256.5,2001.5,11.4017542509914,5.75282865611371e-05,-14,"1"
4,"scan-014.x3p",2394.5,1863.5,88.4081444212014,0.65637868642807,-14,"23"
5,"scan-014.x3p",1822.5,1860.5,22.2036033111745,0.150241032242775,-14,"17"
7,"scan-014.x3p",2372.5,1807.5,70.774289116882,0.659346878528595,-14,"23"
8,"scan-014.x3p",1993.5,1410.5,53.8237865631916,0.100652083754539,-14,"25"
9,"scan-014.x3p",185.5,1346.5,9.05538513813742,-0.13175094127655,-14,"3"
10,"scan-014.x3p",808.5,1220.5,20.2237484161567,-0.0658495873212814,-14,"2"
11,"scan-014.x3p",1676.5,1121.5,10.0498756211209,0.0145963877439499,-14,"26"
12,"scan-014.x3p",990.5,1019.5,13.3416640641263,-0.0805737748742104,-14,"5"
13,"scan-014.x3p",2408.5,899.5,21.1896201004171,0.468317657709122,-14,"21"
14,"scan-014.x3p",2429.5,954.5,55.8032257132148,0.411598235368729,-14,"29"
15,"scan-014.x3p",2310.5,941.5,43.4165866921848,0.467651098966599,-14,"30"
16,"scan-014.x3p",1602.5,880.5,19.9248588451713,-0.00894060730934143,-14,"7"
17,"scan-014.x3p",2364.5,785.5,172.699160391705,0.541552186012268,-14,"21"
18,"scan-014.x3p",233.5,724.5,31.5753068076939,-0.194110214710236,-14,"8"
19,"scan-014.x3p",260.5,653.5,20.2237484161567,-0.196950137615204,-14,"8"
20,"scan-014.x3p",2390.5,630.5,75.6108457828637,0.482538729906082,-14,"21"
21,"scan-014.x3p",2238.5,569.5,27.7308492477241,0.247958242893219,-14,"21"
22,"scan-014.x3p",2394.5,499.5,22.8254244210267,0.439273774623871,-14,"9"
23,"scan-014.x3p",306.5,431.5,155.974356866762,-0.209410116076469,-14,"13"
24,"scan-014.x3p",1639.5,498.5,20.6155281280883,-0.0707588121294975,-14,"27"
25,"scan-014.x3p",2351.5,453.5,173.623155137787,0.486467301845551,-14,"9"
26,"scan-014.x3p",103.5,262.5,47.3814309619285,-0.24283991754055,-14,"10"
27,"scan-014.x3p",2338.5,223.5,99.4082491546854,0.438133388757706,-14,"28"
28,"scan-014.x3p",2346.5,163.5,127.314571043538,0.431758731603622,-14,"28"
29,"scan-014.x3p",246.5,227.5,19.2353840616713,-0.226413011550903,-14,"10"
30,"scan-014.x3p",121.5,129.5,10.0498756211209,-0.248508527874947,-14,"10"
31,"scan-014.x3p",1089.5,121.5,20.3960780543711,-0.144767850637436,-14,"11"
32,"scan-014.x3p",2400.5,10.5,18.9736659610103,0.352985352277756,-14,"28"
33,"scan-014.x3p",2237.5,265.5,55.3172667437573,0.202433317899704,-14,"9"
1,"scan-015.x3p",129.5,1982.5,132.370691620162,0.239373922348022,-15,"16"
2,"scan-015.x3p",268.5,2039.5,19.2353840616713,0.0873046666383743,-15,"1"
4,"scan-015.x3p",2232.5,1914.5,68.264192663504,0.0292367357760668,-15,"22"
5,"scan-015.x3p",1851.5,1831.5,18.4390889145858,0.0303428042680025,-15,"17"
6,"scan-015.x3p",2143.5,1655.5,39.8246155034798,-0.00158218306023628,-15,"20"
7,"scan-015.x3p",254.5,1582.5,10.0498756211209,0.0496754050254822,-15,"19"
8,"scan-015.x3p",2446.5,1480.5,17,-0.0368728525936604,-15,"20"
9,"scan-015.x3p",2318.5,1436.5,22.2036033111745,-0.0163902435451746,-15,"20"
10,"scan-015.x3p",2002.5,1389.5,57.6888204074238,-0.0243185628205538,-15,"25"
11,"scan-015.x3p",2336.5,1367.5,35.6931365951495,-0.0421004928648472,-15,"20"
12,"scan-015.x3p",2279.5,1326.5,10.0498756211209,-0.0439489334821701,-15,"20"
13,"scan-015.x3p",41.5,1319.5,33.2866339541865,0.134160816669464,-15,"3"
14,"scan-015.x3p",823.5,1208.5,19.4164878389476,0.00949510559439659,-15,"2"
15,"scan-015.x3p",1709.5,1104.5,10,-0.0354649610817432,-15,"26"
16,"scan-015.x3p",997.5,1015.5,17.464249196573,-0.0113559141755104,-15,"5"
17,"scan-015.x3p",66.5,980.5,70.8307842678591,0.163666442036629,-15,"6"
18,"scan-015.x3p",1623.5,880.5,14.8660687473185,-0.0262371152639389,-15,"7"
19,"scan-015.x3p",343.5,832.5,12.0415945787923,0.00652248598635197,-15,"8"
20,"scan-015.x3p",1867.5,804.5,17.6918060129541,-0.0572890676558018,-15,"31"
21,"scan-015.x3p",2353.5,772.5,70.0642562224134,-0.0799202099442482,-15,"21"
22,"scan-015.x3p",2259.5,698.5,20.2237484161567,-0.079625204205513,-15,"21"
23,"scan-015.x3p",2392.5,632.5,20.0249843945008,-0.0865052565932274,-15,"21"
24,"scan-015.x3p",236.5,630.5,21.3775583264319,0.00555956596508622,-15,"12"
25,"scan-015.x3p",2237.5,566.5,49.7694685525172,-0.0821207389235497,-15,"9"
26,"scan-015.x3p",1858.5,515.5,29.9666481275434,-0.0646165683865547,-15,"27"
27,"scan-015.x3p",1655.5,499.5,19.4164878389476,-0.0573628433048725,-15,"27"
28,"scan-015.x3p",745.5,501.5,10.0498756211209,-0.0200415756553411,-15,"14"
29,"scan-015.x3p",25.5,501.5,21.9544984001001,0.114500284194946,-15,"12"
30,"scan-015.x3p",301.5,403.5,5.09901951359278,-0.0109390327706933,-15,"13"
31,"scan-015.x3p",2280.5,372.5,18.9736659610103,-0.0869610533118248,-15,"9"
32,"scan-015.x3p",2190.5,313.5,27.7308492477241,-0.0833567008376122,-15,"9"
33,"scan-015.x3p",244.5,197.5,21.095023109729,-0.0170427355915308,-15,"10"
34,"scan-015.x3p",1125.5,116.5,19.9248588451713,-0.0410207435488701,-15,"11"
35,"scan-015.x3p",2349.5,97.5,80.156097709407,-0.0938372910022736,-15,"28"
36,"scan-015.x3p",1094.5,27.5,15.0332963783729,-0.0402980595827103,-15,"11"
1,"scan-016.x3p",270.5,2032.5,19.4164878389476,0.0464903302490711,-16,"1"
2,"scan-016.x3p",2311.5,1995.5,48.2597140480546,0.134879469871521,-16,"22"
3,"scan-016.x3p",183.5,1951.5,77.4144689318476,0.035045213997364,-16,"16"
4,"scan-016.x3p",2248.5,1940.5,10.4403065089106,0.125172406435013,-16,"22"
5,"scan-016.x3p",1715.5,1929.5,21.5870331449229,0.100159153342247,-16,"17"
6,"scan-016.x3p",1884.5,1869.5,48.7544869729956,0.0982291325926781,-16,"17"
7,"scan-016.x3p",273.5,1571.5,9.48683298050514,-0.00690540857613087,-16,"19"
8,"scan-016.x3p",2344.5,1471.5,15,0.077153354883194,-16,"20"
9,"scan-016.x3p",2021.5,1413.5,57.4543296888929,0.049846239387989,-16,"25"
10,"scan-016.x3p",2355.5,1393.5,35.9026461420325,0.0575844459235668,-16,"20"
11,"scan-016.x3p",2299.5,1354.5,10.0498756211209,0.0513575784862041,-16,"20"
12,"scan-016.x3p",198.5,1300.5,44.7772263544762,-0.0345075875520706,-16,"3"
13,"scan-016.x3p",2369.5,1249.5,60.1664358259653,0.0438456945121288,-16,"20"
14,"scan-016.x3p",841.5,1208.5,20.0997512422418,-0.00884088594466448,-16,"2"
15,"scan-016.x3p",15.5,1146.5,34,-0.0490477494895458,-16,"4"
16,"scan-016.x3p",1726.5,1119.5,9.05538513813742,0.0115595068782568,-16,"26"
17,"scan-016.x3p",1406.5,1106.5,10.6301458127346,-0.000588798895478249,-16,"32"
18,"scan-016.x3p",1015.5,1012.5,20.2237484161567,-0.0160765796899796,-16,"5"
19,"scan-016.x3p",1755.5,931.5,10.0498756211209,-0.00130855292081833,-16,"7"
20,"scan-016.x3p",197.5,918.5,101,-0.0567339323461056,-16,"6"
21,"scan-016.x3p",245.5,939.5,61.2209114600559,-0.0530870482325554,-16,"6"
22,"scan-016.x3p",1646.5,887.5,12.0830459735946,0.0141703095287085,-16,"7"
23,"scan-016.x3p",2403.5,869.5,110.724884285331,0.0182835906744003,-16,"29"
24,"scan-016.x3p",2285.5,722.5,20.0249843945008,0.00738418800756335,-16,"21"
25,"scan-016.x3p",259.5,679.5,95.4253635046784,-0.0608983151614666,-16,"8"
26,"scan-016.x3p",2443.5,661.5,19.1049731745428,0.0113441469147801,-16,"21"
27,"scan-016.x3p",294.5,613.5,19.4164878389476,-0.0616248436272144,-16,"12"
28,"scan-016.x3p",2266.5,592.5,9.48683298050514,0.000956468924414366,-16,"21"
29,"scan-016.x3p",1676.5,510.5,20.2237484161567,-0.0155786518007517,-16,"27"
30,"scan-016.x3p",266.5,461.5,57.2800139664787,-0.0648406445980072,-16,"13"
31,"scan-016.x3p",2313.5,397.5,18.6815416922694,-0.00217100814916193,-16,"9"
32,"scan-016.x3p",353.5,392.5,15.0332963783729,-0.0655084103345871,-16,"13"
33,"scan-016.x3p",225.5,281.5,34.7131099154196,-0.0700748935341835,-16,"13"
34,"scan-016.x3p",211.5,219.5,41.7731971484108,-0.0708072409033775,-16,"10"
35,"scan-016.x3p",316.5,184.5,21.095023109729,-0.0646241754293442,-16,"10"
